id,graph_order,R,G,B
616,852,255,144,255
214,853,255,144,255
35,854,255,144,255
54211,855,255,144,255
975,856,255,144,255
115,857,255,144,255
60663,858,255,144,255
757,859,255,144,255
231,860,255,144,255
66,861,255,144,255
75,862,255,144,255
58,863,255,144,255
374,866,255,166,255
1052,867,255,166,255
12,869,255,166,255
100,870,255,166,255
60834,871,255,166,255
60838,872,255,166,255
60842,873,255,166,255
60846,874,255,166,255
60850,875,255,166,255
60854,876,255,166,255
60858,877,255,166,255
60862,878,255,166,255
197,879,255,166,255
591,880,255,166,255
872,881,255,166,255
771,883,255,155,136
612,885,255,174,111
7,889,255,174,111
867,890,255,174,111
123,891,255,174,111
122,903,255,174,111
105,904,255,174,111
114,905,255,174,111
280,907,255,186,134
880,908,255,186,134
59927,910,255,186,134
898,911,255,186,134
931,912,255,186,134
1093,913,255,186,134
318,915,255,186,134
534,917,255,186,134
574,918,255,186,134
621,919,255,186,134
54215,920,255,186,134
54219,921,255,186,134
54223,922,255,186,134
54227,923,255,186,134
679,925,255,195,149
147,928,255,195,149
162,929,255,195,149
604,930,255,195,149
146,931,255,195,149
238,932,255,195,149
350,933,255,195,149
358,934,255,195,149
354,935,255,155,205
207,937,255,165,210
96,941,255,165,210
101,942,255,165,210
711,944,255,165,210
1039,945,255,165,210
903,946,255,165,210
642,947,255,165,210
651,948,255,165,210
429,954,255,165,210
437,955,255,165,210
445,956,255,165,210
58451,962,255,165,210
653,965,255,179,217
661,967,255,179,217
576,968,255,179,217
939,971,255,179,217
143,972,255,179,217
839,973,255,179,217
1048,975,255,179,217
372,976,255,179,217
83,977,255,179,217
136,978,255,179,217
106,979,255,179,217
203,980,255,179,217
955,982,255,179,217
963,983,255,179,217
307,984,255,179,217
1098,986,255,179,217
1107,987,255,179,217
852,988,255,179,217
859,989,255,179,217
970,991,255,179,217
978,992,255,179,217
177,995,255,179,217
169,996,255,179,217
1069,998,255,179,217
209,1002,255,179,217
202,1003,255,179,217
225,1004,255,179,217
217,1005,255,179,217
765,1006,255,179,217
773,1007,255,179,217
781,1008,255,179,217
206,1011,255,198,226
230,1012,255,198,226
222,1013,255,198,226
512,1014,240,240,128
912,1020,255,252,145
976,1025,255,252,145
984,1029,255,252,145
1091,1042,255,252,145
936,1046,255,252,145
944,1050,255,252,145
951,1054,255,252,145
957,1058,255,252,145
968,1062,255,252,145
1007,1067,255,252,145
1056,1072,255,252,145
1064,1076,255,252,145
1025,1080,255,252,145
1033,1084,255,252,145
1041,1088,255,252,145
1049,1092,255,252,145
989,1097,255,253,188
91,1098,255,253,188
846,1099,255,253,188
58455,1100,255,253,188
1009,1101,204,204,204
949,1104,204,204,204
1016,1106,204,204,204
665,1108,204,204,204
538,1109,204,204,204
900,1111,204,204,204
848,1112,204,204,204
916,1114,204,204,204
336,1115,204,204,204
117,1116,204,204,204
125,1117,204,204,204
832,1119,204,204,204
62,1120,204,204,204
158,1121,204,204,204
911,1122,204,204,204
93,1126,204,204,204
229,1127,204,204,204
794,1129,204,204,204
798,1130,204,204,204
1116,1132,204,204,204
413,1135,204,204,204
841,1137,204,204,204
506,1139,204,204,204
658,1140,204,204,204
633,1141,204,204,204
482,1142,204,204,204
237,1145,204,204,204
380,1156,204,204,204
697,1159,204,204,204
744,1172,204,204,204
326,1174,204,204,204
812,1175,204,204,204
850,1177,204,204,204
866,1178,204,204,204
78,1179,204,204,204
1123,1180,204,204,204
553,1181,204,204,204
728,1188,204,204,204
48512,1189,204,204,204
956,1192,204,204,204
579,1193,204,204,204
964,1194,204,204,204
1108,1195,204,204,204
971,1196,204,204,204
48516,1198,204,204,204
986,1199,204,204,204
784,1200,204,204,204
6,1201,204,204,204
924,1202,204,204,204
190,1207,204,204,204
198,1208,204,204,204
1092,1212,204,204,204
48520,1216,204,204,204
48524,1217,204,204,204
102,1221,204,204,204
1051,1227,204,204,204
1060,1228,204,204,204
1043,1229,204,204,204
863,1230,204,204,204
397,1231,204,204,204
884,1240,204,204,204
908,1242,204,204,204
940,1243,204,204,204
466,1245,204,204,204
530,1246,204,204,204
603,1247,204,204,204
428,1251,204,204,204
436,1252,204,204,204
443,1254,204,204,204
449,1255,204,204,204
301,1259,204,204,204
48528,1260,204,204,204
54,1262,204,204,204
349,1265,204,204,204
753,1278,204,204,204
690,1279,204,204,204
681,1280,204,204,204
673,1281,204,204,204
802,1285,204,204,204
595,1286,204,204,204
611,1287,204,204,204
81,1293,170,170,170
98,1295,170,170,170
108,1296,170,170,170
129,1299,170,170,170
140,1300,170,170,170
145,1301,170,170,170
153,1302,170,170,170
164,1303,170,170,170
